YEAR,STATION,POLLUTANT,Month 01,Month 02,Month 03,Month 04,Month 05,Month 06,Month 07,Month 08,Month 09,Month 10,Month 11,Month 12
2022,CENTRAL/WESTERN,Fine Suspended Particulates ,25,13,18,15,10,6,8,8,23,15,13,17
2022,CENTRAL/WESTERN,Nitrogen Dioxide,40,36,37,29,24,19,18,26,32,26,30,40
2022,CENTRAL/WESTERN,Nitrogen Oxides,49,48,54,37,29,26,24,35,35,30,37,51
2022,CENTRAL/WESTERN,Ozone,70,55,73,75,74,40,57,53,130,94,63,55
2022,CENTRAL/WESTERN,Respirable Suspended Particulates,35,19,27,25,16,10,13,13,36,28,20,25
2022,CENTRAL/WESTERN,Sulphur Dioxide,3,2,3,3,4,4,4,4,4,3,5,3
2022,EASTERN,Fine Suspended Particulates ,22,12,16,14,10,5,8,7,21,14,13,17
2022,EASTERN,Nitrogen Dioxide,41,36,39,31,30,22,22,29,34,29,33,38
2022,EASTERN,Ozone,68,56,71,76,72,42,55,54,119,96,71,60
2022,EASTERN,Respirable Suspended Particulates,35,21,28,27,19,13,16,14,33,27,20,27
2022,EASTERN,Sulphur Dioxide,1,1,1,1,1,1,2,1,3,2,1,2
2022,KWAI CHUNG,Fine Suspended Particulates ,25,14,18,15,11,8,10,9,24,15,13,19
2022,KWAI CHUNG,Nitrogen Dioxide,48,39,47,44,43,49,48,41,55,39,35,42
2022,KWAI CHUNG,Nitrogen Oxides,72,64,86,74,72,109,85,80,69,52,55,68
2022,KWAI CHUNG,Ozone,50,40,51,54,53,11,24,28,83,71,47,42
2022,KWAI CHUNG,Respirable Suspended Particulates,34,19,26,25,18,15,16,14,36,28,19,29
2022,KWAI CHUNG,Sulphur Dioxide,6,6,9,8,7,13,13,11,4,3,2,3
2022,KWUN TONG,Fine Suspended Particulates ,23,12,18,16,12,9,10,8,20,13,12,17
2022,KWUN TONG,Nitrogen Dioxide,50,43,48,45,44,40,42,43,59,42,37,48
2022,KWUN TONG,Nitrogen Oxides,68,69,76,64,68,78,69,73,71,53,50,77
2022,KWUN TONG,Ozone,56,43,57,57,52,19,30,29,87,73,52,39
2022,KWUN TONG,Respirable Suspended Particulates,34,20,29,28,20,16,18,15,34,29,20,28
2022,KWUN TONG,Sulphur Dioxide,6,6,8,9,7,5,8,5,5,5,5,7
2022,NORTH,Fine Suspended Particulates ,21,12,14,10,9,6,9,7,22,17,15,21
2022,NORTH,Nitrogen Dioxide,42,28,29,28,28,22,23,27,37,31,31,42
2022,NORTH,Nitrogen Oxides,57,37,38,36,38,35,34,41,46,37,42,64
2022,NORTH,Ozone,54,49,67,69,64,31,49,41,99,83,54,40
2022,NORTH,Respirable Suspended Particulates,32,18,22,22,17,11,16,14,36,32,21,34
2022,NORTH,Sulphur Dioxide,4,2,4,4,4,5,6,5,2,3,2,3
2022,SHAM SHUI PO,Fine Suspended Particulates ,21,12,15,13,9,6,9,8,18,12,10,16
2022,SHAM SHUI PO,Nitrogen Dioxide,56,40,48,43,41,32,34,42,52,40,44,45
2022,SHAM SHUI PO,Nitrogen Oxides,76,58,74,59,56,53,52,70,61,51,62,61
2022,SHAM SHUI PO,Ozone,51,46,55,60,56,27,38,33,101,81,52,48
2022,SHAM SHUI PO,Respirable Suspended Particulates,34,21,29,28,19,14,17,16,36,30,22,28
2022,SHAM SHUI PO,Sulphur Dioxide,4,4,6,6,5,6,7,8,3,3,3,4
2022,SHATIN,Fine Suspended Particulates ,22,12,15,14,10,6,9,7,22,14,10,17
2022,SHATIN,Nitrogen Dioxide,32,24,28,25,22,23,24,25,29,22,24,37
2022,SHATIN,Nitrogen Oxides,42,31,37,31,29,35,31,36,33,25,32,48
2022,SHATIN,Ozone,63,53,66,69,68,29,43,40,107,90,61,45
2022,SHATIN,Respirable Suspended Particulates,31,17,23,23,17,12,14,13,34,26,17,27
2022,SHATIN,Sulphur Dioxide,5,5,6,7,7,8,9,9,6,6,6,7
2022,SOUTHERN,Fine Suspended Particulates ,19,10,13,13,9,6,8,7,21,13,11,16
2022,SOUTHERN,Nitrogen Dioxide,32,28,29,24,22,24,21,21,27,20,22,36
2022,SOUTHERN,Nitrogen Oxides,41,40,41,31,28,33,28,32,31,24,28,50
2022,SOUTHERN,Ozone,72,56,69,73,68,29,43,43,110,92,68,54
2022,SOUTHERN,Respirable Suspended Particulates,32,18,24,25,18,16,17,17,38,34,22,32
2022,SOUTHERN,Sulphur Dioxide,2,1,3,3,4,2,3,3,4,4,4,5
2022,TAI PO,Fine Suspended Particulates ,23,13,15,14,10,6,10,8,22,15,13,20
2022,TAI PO,Nitrogen Dioxide,33,22,24,23,24,23,24,25,31,27,26,37
2022,TAI PO,Nitrogen Oxides,46,31,34,32,33,34,33,36,35,31,34,50
2022,TAI PO,Ozone,62,55,77,77,70,32,48,44,105,85,60,42
2022,TAI PO,Respirable Suspended Particulates,32,17,22,22,15,10,14,14,33,28,19,30
2022,TAI PO,Sulphur Dioxide,4,3,3,3,2,2,4,1,2,2,2,3
2022,TAP MUN,Fine Suspended Particulates ,20,10,13,12,7,4,7,6,20,14,11,17
2022,TAP MUN,Nitrogen Dioxide,11,7,9,7,5,4,6,6,8,7,8,13
2022,TAP MUN,Nitrogen Oxides,14,11,14,12,10,10,12,12,13,12,14,19
2022,TAP MUN,Ozone,82,68,81,83,83,42,55,57,121,101,71,63
2022,TAP MUN,Respirable Suspended Particulates,30,15,21,20,14,9,12,13,32,29,18,27
2022,TAP MUN,Sulphur Dioxide,8,7,7,7,7,7,8,9,10,10,7,6
2022,TSEUNG KWAN O,Fine Suspended Particulates ,19,10,15,14,9,6,9,8,23,17,14,18
2022,TSEUNG KWAN O,Nitrogen Dioxide,22,15,21,19,16,22,21,22,31,18,18,26
2022,TSEUNG KWAN O,Nitrogen Oxides,27,19,32,25,23,37,32,37,37,22,23,33
2022,TSEUNG KWAN O,Ozone,78,65,78,78,76,32,45,42,104,88,70,58
2022,TSEUNG KWAN O,Respirable Suspended Particulates,28,15,24,24,17,13,16,15,36,30,20,27
2022,TSEUNG KWAN O,Sulphur Dioxide,4,3,5,3,2,3,3,2,3,3,2,3
2022,TSUEN WAN,Fine Suspended Particulates ,22,14,14,10,12,8,7,9,25,17,15,20
2022,TSUEN WAN,Nitrogen Dioxide,49,37,44,42,39,39,34,34,39,34,36,43
2022,TSUEN WAN,Nitrogen Oxides,66,53,69,61,55,65,53,53,46,42,48,58
2022,TSUEN WAN,Ozone,42,40,49,48,50,17,32,29,99,74,45,38
2022,TSUEN WAN,Respirable Suspended Particulates,31,20,23,23,18,15,15,14,35,28,19,28
2022,TSUEN WAN,Sulphur Dioxide,5,5,7,7,7,9,9,9,10,10,9,9
2022,TUEN MUN,Fine Suspended Particulates ,30,19,20,18,13,8,11,9,27,19,15,25
2022,TUEN MUN,Nitrogen Dioxide,56,38,48,39,35,28,28,29,37,36,42,47
2022,TUEN MUN,Nitrogen Oxides,80,53,68,49,46,41,38,43,43,43,59,66
2022,TUEN MUN,Ozone,37,36,43,54,52,24,36,40,111,85,45,40
2022,TUEN MUN,Respirable Suspended Particulates,45,27,34,35,23,18,22,17,48,41,28,47
2022,TUEN MUN,Sulphur Dioxide,3,2,3,3,2,4,4,6,7,5,4,3
2022,TUNG CHUNG,Fine Suspended Particulates ,30,15,15,14,10,5,9,9,23,15,12,19
2022,TUNG CHUNG,Nitrogen Dioxide,39,28,27,26,20,12,14,17,25,24,25,37
2022,TUNG CHUNG,Nitrogen Oxides,52,40,39,32,26,19,20,28,30,28,34,54
2022,TUNG CHUNG,Ozone,40,37,50,58,55,34,42,38,98,77,49,32
2022,TUNG CHUNG,Respirable Suspended Particulates,39,21,23,24,15,9,14,13,36,31,19,31
2022,TUNG CHUNG,Sulphur Dioxide,6,8,9,5,2,3,4,5,6,6,6,8
2022,YUEN LONG,Fine Suspended Particulates ,28,16,17,16,12,6,9,9,24,15,15,23
2022,YUEN LONG,Nitrogen Dioxide,52,36,39,38,35,27,29,25,33,33,42,57
2022,YUEN LONG,Nitrogen Oxides,74,50,55,50,47,44,44,45,41,42,59,78
2022,YUEN LONG,Ozone,40,39,49,57,54,27,39,36,106,86,46,40
2022,YUEN LONG,Respirable Suspended Particulates,40,22,25,27,17,11,17,14,37,31,22,35
2022,YUEN LONG,Sulphur Dioxide,4,4,4,5,3,3,4,4,4,4,4,5
